form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,40,593,1,0.17
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,50,593,1,0.17
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,70,593,7,1.18
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,80,593,40,6.75
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,90,593,328,55.31
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,100,593,216,36.42
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,50,298,1,0.34
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,70,298,3,1.01
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,80,298,20,6.71
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,90,298,171,57.38
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,100,298,103,34.56
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,B,40,295,1,0.34
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,B,70,295,4,1.36
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,B,80,295,20,6.78
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,B,90,295,157,53.22
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,B,100,295,113,38.31
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,70,295,1,0.34
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,80,295,15,5.08
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,90,295,157,53.22
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,100,295,122,41.36
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,40,298,1,0.34
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,50,298,1,0.34
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,70,298,6,2.01
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,80,298,25,8.39
