form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,overall,overall,593,5.21,4.10,0.00,22.00,0.00-22.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,group,A,298,5.63,4.20,0.00,22.00,0.00-22.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,group,B,295,4.80,3.97,0.00,19.00,0.00-19.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,gender,Boys,295,4.52,3.66,0.00,19.00,0.00-19.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,gender,Girls,298,5.90,4.40,0.00,22.00,0.00-22.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,new_group,A_Boys,150,4.91,3.72,0.00,17.00,0.00-17.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,new_group,A_Girls,148,6.36,4.54,0.00,22.00,0.00-22.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,new_group,B_Boys,145,4.12,3.57,0.00,19.00,0.00-19.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,phq9a_-phq9a_total,continuous,new_group,B_Girls,150,5.45,4.23,0.00,19.00,0.00-19.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,overall,overall,593,19.75,9.45,0.00,49.00,0.00-49.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,group,A,298,20.58,9.44,0.00,47.00,0.00-47.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,group,B,295,18.91,9.39,0.00,49.00,0.00-49.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,gender,Boys,295,18.27,8.51,0.00,48.00,0.00-48.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,gender,Girls,298,21.21,10.09,0.00,49.00,0.00-49.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,new_group,A_Boys,150,18.97,8.50,0.00,43.00,0.00-43.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,new_group,A_Girls,148,22.22,10.08,3.00,47.00,3.00-47.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,new_group,B_Boys,145,17.55,8.49,4.00,48.00,4.00-48.00
6_month_follow_up_adolescents,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Adolescents)_v1_0.csv,Overall,Overall,psc_-psc_total,continuous,new_group,B_Girls,150,20.21,10.04,0.00,49.00,0.00-49.00
