form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,40,576,1,0.17
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,70,576,2,0.35
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,80,576,23,3.99
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,90,576,246,42.71
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,overall,overall,100,576,304,52.78
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,40,294,1,0.34
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,70,294,1,0.34
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,80,294,7,2.38
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,90,294,125,42.52
6_month_follow_up_caregiver,data/SMART_STEP_6_Month_Follow_Up_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,cgas_-cgas_response,categorical,group,A,100,294,160,54.42
