form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,overall,overall,113,6.88,6.00,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,group,A,47,5.89,4.97,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,group,B,66,7.58,6.59,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,gender,Boys,47,7.30,6.57,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,gender,Girls,66,6.58,5.60,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,new_group,A_Boys,23,6.43,5.36,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,new_group,A_Girls,24,5.38,4.62,0.00,15.00,0.00-15.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,new_group,B_Boys,24,8.12,7.57,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,srq_-srq_total,continuous,new_group,B_Girls,42,7.26,6.03,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,overall,overall,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,group,A,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,group,B,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,gender,Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,gender,Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,new_group,A_Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,new_group,A_Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,new_group,B_Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,apq_-dsm5_total,continuous,new_group,B_Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,overall,overall,113,24.63,4.64,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,group,A,47,24.68,4.69,11.00,31.00,11.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,group,B,66,24.59,4.65,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,gender,Boys,47,24.81,4.18,15.00,31.00,15.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,gender,Girls,66,24.50,4.97,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,new_group,A_Boys,23,24.70,4.44,15.00,30.00,15.00-30.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,new_group,A_Girls,24,24.67,5.01,11.00,31.00,11.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,new_group,B_Boys,24,24.92,4.02,15.00,31.00,15.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Overall,Overall,bbscq_-bbscq_total,continuous,new_group,B_Girls,42,24.40,5.01,5.00,30.00,5.00-30.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,overall,overall,113,6.88,6.00,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,group,A,47,5.89,4.97,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,group,B,66,7.58,6.59,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,gender,Boys,47,7.30,6.57,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,gender,Girls,66,6.58,5.60,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,new_group,A_Boys,23,6.43,5.36,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,new_group,A_Girls,24,5.38,4.62,0.00,15.00,0.00-15.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,new_group,B_Boys,24,8.12,7.57,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,SRQ,srq_-srq_total,continuous,new_group,B_Girls,42,7.26,6.03,0.00,20.00,0.00-20.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,overall,overall,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,group,A,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,group,B,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,gender,Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,gender,Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,A_Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,A_Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,B_Boys,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,APQ,apq_-dsm5_total,continuous,new_group,B_Girls,0,,,,,
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,overall,overall,113,24.63,4.64,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,group,A,47,24.68,4.69,11.00,31.00,11.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,group,B,66,24.59,4.65,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,gender,Boys,47,24.81,4.18,15.00,31.00,15.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,gender,Girls,66,24.50,4.97,5.00,31.00,5.00-31.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,A_Boys,23,24.70,4.44,15.00,30.00,15.00-30.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_total,continuous,new_group,A_Girls,24,24.67,5.01,11.00,31.00,11.00-31.00
