Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 5.21 [4.10] - 0.00-22.00
psc_-psc_total | 19.75 [9.45] - 0.00-49.00
rcads_-rcads_total | 16.11 [10.98] - 0.00-56.00
dsm5_-dsm5_total | 16.16 [12.31] - 0.00-59.00
somatic_-somatic_total | 4.25 [3.61] - 0.00-18.00
wemwbs_-wemwbs_total | 20.32 [5.07] - 7.00-35.00
ibs_-ibs_total | 1.94 [2.61] - 0.00-14.00
bbscq_-bbscq_total | 23.70 [4.54] - 4.00-30.00
self_stigma_-stgt_total | 0.48 [0.99] - 0.00-5.00
psychlops_post_-psy_total | 6.45 [4.98] - 0.00-20.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for overall analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (group)
--------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 5.63 [4.20] - 0.00-22.00
phq9a_-phq9a_total | 4.80 [3.97] - 0.00-19.00
psc_-psc_total | 20.58 [9.44] - 0.00-47.00
psc_-psc_total | 18.91 [9.39] - 0.00-49.00
rcads_-rcads_total | 17.07 [10.89] - 0.00-56.00
rcads_-rcads_total | 15.15 [11.02] - 0.00-54.00
dsm5_-dsm5_total | 16.98 [12.28] - 0.00-59.00
dsm5_-dsm5_total | 15.33 [12.30] - 0.00-58.00
somatic_-somatic_total | 4.56 [3.66] - 0.00-16.00
somatic_-somatic_total | 3.93 [3.55] - 0.00-18.00
wemwbs_-wemwbs_total | 20.57 [5.13] - 7.00-35.00
wemwbs_-wemwbs_total | 20.07 [5.00] - 7.00-34.00
ibs_-ibs_total | 2.14 [2.84] - 0.00-14.00
ibs_-ibs_total | 1.74 [2.34] - 0.00-12.00
bbscq_-bbscq_total | 23.77 [4.89] - 4.00-30.00
bbscq_-bbscq_total | 23.63 [4.16] - 8.00-30.00
self_stigma_-stgt_total | 0.51 [1.00] - 0.00-5.00
self_stigma_-stgt_total | 0.46 [0.97] - 0.00-4.00
psychlops_post_-psy_total | 6.83 [5.31] - 0.00-20.00
psychlops_post_-psy_total | 6.11 [4.64] - 0.00-17.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for overall analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (gender)
---------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.52 [3.66] - 0.00-19.00
phq9a_-phq9a_total | 5.90 [4.40] - 0.00-22.00
psc_-psc_total | 18.27 [8.51] - 0.00-48.00
psc_-psc_total | 21.21 [10.09] - 0.00-49.00
rcads_-rcads_total | 13.78 [10.12] - 0.00-54.00
rcads_-rcads_total | 18.42 [11.33] - 0.00-56.00
dsm5_-dsm5_total | 14.78 [12.06] - 0.00-59.00
dsm5_-dsm5_total | 17.52 [12.42] - 0.00-53.00
somatic_-somatic_total | 3.87 [3.45] - 0.00-16.00
somatic_-somatic_total | 4.62 [3.74] - 0.00-18.00
wemwbs_-wemwbs_total | 20.27 [5.03] - 7.00-35.00
wemwbs_-wemwbs_total | 20.37 [5.12] - 7.00-35.00
ibs_-ibs_total | 2.26 [2.79] - 0.00-14.00
ibs_-ibs_total | 1.63 [2.37] - 0.00-13.00
bbscq_-bbscq_total | 23.64 [4.60] - 4.00-30.00
bbscq_-bbscq_total | 23.76 [4.49] - 8.00-30.00
self_stigma_-stgt_total | 0.43 [0.94] - 0.00-5.00
self_stigma_-stgt_total | 0.54 [1.03] - 0.00-5.00
psychlops_post_-psy_total | 6.36 [5.05] - 0.00-20.00
psychlops_post_-psy_total | 6.55 [4.92] - 0.00-19.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for overall analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (new_group)
------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.91 [3.72] - 0.00-17.00
phq9a_-phq9a_total | 6.36 [4.54] - 0.00-22.00
phq9a_-phq9a_total | 4.12 [3.57] - 0.00-19.00
phq9a_-phq9a_total | 5.45 [4.23] - 0.00-19.00
psc_-psc_total | 18.97 [8.50] - 0.00-43.00
psc_-psc_total | 22.22 [10.08] - 3.00-47.00
psc_-psc_total | 17.55 [8.49] - 4.00-48.00
psc_-psc_total | 20.21 [10.04] - 0.00-49.00
rcads_-rcads_total | 15.09 [10.76] - 0.00-54.00
rcads_-rcads_total | 19.07 [10.69] - 0.00-56.00
rcads_-rcads_total | 12.43 [9.26] - 0.00-54.00
rcads_-rcads_total | 17.79 [11.93] - 0.00-51.00
dsm5_-dsm5_total | 15.93 [12.39] - 0.00-59.00
dsm5_-dsm5_total | 18.05 [12.11] - 0.00-50.00
dsm5_-dsm5_total | 13.60 [11.64] - 0.00-58.00
dsm5_-dsm5_total | 16.99 [12.73] - 0.00-53.00
somatic_-somatic_total | 4.29 [3.63] - 0.00-16.00
somatic_-somatic_total | 4.83 [3.68] - 0.00-16.00
somatic_-somatic_total | 3.43 [3.21] - 0.00-14.00
somatic_-somatic_total | 4.41 [3.79] - 0.00-18.00
wemwbs_-wemwbs_total | 20.74 [5.22] - 7.00-35.00
wemwbs_-wemwbs_total | 20.40 [5.06] - 10.00-35.00
wemwbs_-wemwbs_total | 19.79 [4.80] - 7.00-33.00
wemwbs_-wemwbs_total | 20.34 [5.20] - 7.00-34.00
ibs_-ibs_total | 2.41 [3.10] - 0.00-14.00
ibs_-ibs_total | 1.86 [2.52] - 0.00-13.00
ibs_-ibs_total | 2.10 [2.44] - 0.00-11.00
ibs_-ibs_total | 1.39 [2.19] - 0.00-12.00
bbscq_-bbscq_total | 23.56 [5.25] - 4.00-30.00
bbscq_-bbscq_total | 23.97 [4.52] - 10.00-30.00
bbscq_-bbscq_total | 23.72 [3.84] - 10.00-29.00
