analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,40,593,1,0.17
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,50,593,1,0.17
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,70,593,7,1.18
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,80,593,40,6.75
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,90,593,328,55.31
Overall,Overall,cgas_-cgas_response,categorical,overall,overall,100,593,216,36.42
Overall,Overall,cgas_-cgas_response,categorical,group,A,50,298,1,0.34
Overall,Overall,cgas_-cgas_response,categorical,group,A,70,298,3,1.01
Overall,Overall,cgas_-cgas_response,categorical,group,A,80,298,20,6.71
Overall,Overall,cgas_-cgas_response,categorical,group,A,90,298,171,57.38
Overall,Overall,cgas_-cgas_response,categorical,group,A,100,298,103,34.56
Overall,Overall,cgas_-cgas_response,categorical,group,B,40,295,1,0.34
Overall,Overall,cgas_-cgas_response,categorical,group,B,70,295,4,1.36
Overall,Overall,cgas_-cgas_response,categorical,group,B,80,295,20,6.78
Overall,Overall,cgas_-cgas_response,categorical,group,B,90,295,157,53.22
Overall,Overall,cgas_-cgas_response,categorical,group,B,100,295,113,38.31
Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,70,295,1,0.34
Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,80,295,15,5.08
Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,90,295,157,53.22
Overall,Overall,cgas_-cgas_response,categorical,gender,Boys,100,295,122,41.36
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,40,298,1,0.34
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,50,298,1,0.34
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,70,298,6,2.01
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,80,298,25,8.39
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,90,298,171,57.38
Overall,Overall,cgas_-cgas_response,categorical,gender,Girls,100,298,94,31.54
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Boys,80,150,10,6.67
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Boys,90,150,82,54.67
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Boys,100,150,58,38.67
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,50,148,1,0.68
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,70,148,3,2.03
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,80,148,10,6.76
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,90,148,89,60.14
Overall,Overall,cgas_-cgas_response,categorical,new_group,A_Girls,100,148,45,30.41
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,70,145,1,0.69
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,80,145,5,3.45
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,90,145,75,51.72
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Boys,100,145,64,44.14
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,40,150,1,0.67
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,70,150,3,2.00
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,80,150,15,10.00
